epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,11514.9,0.64674,0.60722,0.62204,0.00964,1.54451,0.99622,0.95876,0.99331,0.86915,0.99622,0.95876,0.99331,0.91259,0.58883,0.49706,0.3152,0.0197,0,0.0009308,0.0009308,0.0009308
29,11795.9,0.61659,0.61275,0.62491,0.00928,1.56371,0.96915,0.91753,0.98806,0.80688,0.96915,0.91753,0.98103,0.86424,0.73512,0.60526,0.48184,0.02565,0,0.0008912,0.0008912,0.0008912
30,12090.1,0.56572,0.57801,0.60459,0.00844,1.62317,0.97761,0.90041,0.97684,0.87987,0.97761,0.90041,0.98107,0.89411,0.54784,0.55215,0.40987,0.01843,0,0.0008516,0.0008516,0.0008516
31,12388.1,0.5671,0.55457,0.58248,0.00893,1.56023,0.95711,0.92015,0.97119,0.87696,0.95711,0.92015,0.97119,0.89685,0.52576,0.50698,0.48442,0.01721,0,0.000812,0.000812,0.000812
32,12673.2,0.55764,0.60405,0.59305,0.00863,1.51023,0.98858,0.89276,0.98287,0.88418,0.98858,0.89276,0.98287,0.89026,0.53222,0.5491,0.3859,0.01762,0,0.0007724,0.0007724,0.0007724
33,12953.7,0.58474,0.60258,0.60074,0.00925,1.55596,0.9659,0.8761,0.92771,0.80004,0.9659,0.8761,0.92985,0.83645,0.65286,0.59246,0.54993,0.0218,0,0.0007328,0.0007328,0.0007328
34,13236,0.58868,0.61077,0.55591,0.009,1.41152,0.97764,0.9014,0.95691,0.85936,0.97764,0.9014,0.9593,0.89109,0.57458,0.49783,0.50229,0.01968,0,0.0006932,0.0006932,0.0006932
35,13518.9,0.53742,0.57159,0.5592,0.00797,1.46036,0.95599,0.89586,0.95942,0.83575,0.92303,0.86537,0.91163,0.8299,0.64349,0.59654,0.49721,0.02217,0,0.0006536,0.0006536,0.0006536
36,24041,0.53761,0.56105,0.57822,0.00803,1.47299,0.95598,0.89551,0.9649,0.86604,0.95598,0.89551,0.96074,0.87167,0.59791,0.58882,0.48405,0.02018,0,0.000614,0.000614,0.000614
37,24287.2,0.52021,0.55419,0.57002,0.00794,1.37725,0.9747,0.94845,0.98746,0.90364,0.9747,0.94845,0.98746,0.91176,0.53509,0.53466,0.38839,0.01819,0,0.0005744,0.0005744,0.0005744
38,24516.8,0.52618,0.54435,0.51579,0.00796,1.30112,0.96851,0.95126,0.98804,0.89669,0.96851,0.95126,0.98804,0.91161,0.52535,0.49818,0.27741,0.01778,0,0.0005348,0.0005348,0.0005348
39,24743,0.51682,0.50517,0.52331,0.00797,1.29506,0.90109,0.93918,0.97071,0.86785,0.90109,0.93918,0.97071,0.8767,0.55557,0.62071,0.42456,0.01832,0,0.0004952,0.0004952,0.0004952
40,24968.7,0.50363,0.51931,0.52741,0.00761,1.34385,0.92307,0.91753,0.95824,0.87824,0.90975,0.90722,0.95241,0.87738,0.50766,0.57607,0.48068,0.01663,0,0.0004556,0.0004556,0.0004556
41,25187.9,0.46082,0.5879,0.49552,0.01305,1.47661,0.9768,0.86802,0.96058,0.86129,0.9768,0.86802,0.9584,0.86876,0.53518,0.58545,0.56725,0.01796,0,0.000416,0.000416,0.000416
42,25437.7,0.41074,0.42921,0.39874,0.01115,1.36096,0.99446,0.83505,0.92362,0.83689,0.99446,0.83505,0.92362,0.84544,0.56066,0.58962,0.59761,0.01897,0,0.0003764,0.0003764,0.0003764
43,25680.2,0.35508,0.37686,0.37589,0.00933,1.34101,0.95269,0.83034,0.92202,0.8414,0.95269,0.83034,0.92202,0.8459,0.56977,0.61021,0.66858,0.01909,0,0.0003368,0.0003368,0.0003368
44,25898.5,0.36106,0.38707,0.35467,0.00894,1.24059,0.96269,0.79381,0.88696,0.81315,0.96269,0.79381,0.88696,0.82081,0.58782,0.66231,0.8275,0.01993,0,0.0002972,0.0002972,0.0002972
45,26115.7,0.34718,0.37742,0.34056,0.00882,1.27523,0.97633,0.82474,0.91646,0.84652,0.97633,0.82474,0.91646,0.85625,0.54075,0.62877,0.68666,0.01835,0,0.0002576,0.0002576,0.0002576
46,26333.1,0.33276,0.37329,0.36194,0.00862,1.19996,0.9626,0.85567,0.92893,0.84305,0.9626,0.85567,0.92893,0.85754,0.56587,0.63713,0.6343,0.01917,0,0.000218,0.000218,0.000218
47,26547.4,0.3017,0.36326,0.31777,0.00744,1.20922,0.96507,0.85456,0.93485,0.85414,0.96507,0.85456,0.93485,0.85884,0.53188,0.63731,0.63791,0.01786,0,0.0001784,0.0001784,0.0001784
48,26762.5,0.3094,0.39187,0.30934,0.00769,1.16548,0.98808,0.8545,0.90922,0.83743,0.98808,0.8545,0.90922,0.83988,0.52876,0.67766,0.67345,0.01773,0,0.0001388,0.0001388,0.0001388
49,26980,0.29636,0.35746,0.30874,0.00768,1.15595,0.95356,0.84666,0.91073,0.85072,0.95356,0.84666,0.91073,0.85621,0.51495,0.67221,0.64776,0.0173,0,9.92e-05,9.92e-05,9.92e-05
50,27196.9,0.28846,0.35467,0.29013,0.00733,1.07144,0.9756,0.82442,0.92934,0.86012,0.9756,0.82442,0.92934,0.86367,0.49088,0.63602,0.61047,0.01631,0,5.96e-05,5.96e-05,5.96e-05
