epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,1968.49,0.76481,1.10651,0.90218,1.19177,0,0.96829,0.98969,0.99236,0.83007,0.96829,0.98969,0.99236,0.82993,0.6687,0.95109,0.55106,1.09062,0,0.0008912,0.0008912,0.0008912
30,2028.87,0.75736,1.10066,0.90232,1.19613,0,0.98943,0.96474,0.98423,0.84782,0.98943,0.96474,0.98423,0.84567,0.57116,0.87954,0.51628,1.0562,0,0.0008516,0.0008516,0.0008516
31,2088.89,0.725,1.07866,0.87077,1.17839,0,0.96938,0.97921,0.99193,0.85708,0.95918,0.96901,0.9905,0.85591,0.59651,0.83895,0.51114,1.06312,0,0.000812,0.000812,0.000812
32,2148.47,0.74183,1.02377,0.8723,1.16554,0,0.95958,0.97886,0.98952,0.84848,0.95958,0.97886,0.98952,0.84121,0.60648,0.83474,0.55018,1.02366,0,0.0007724,0.0007724,0.0007724
33,2208.13,0.73028,1.02295,0.88266,1.17386,0,0.94919,0.98969,0.98083,0.86844,0.94919,0.98969,0.98083,0.84296,0.53677,0.78011,0.54752,1.0042,0,0.0007328,0.0007328,0.0007328
34,2267.89,0.70967,1.01377,0.83502,1.1685,0,0.98861,0.98969,0.992,0.88088,0.98861,0.98969,0.992,0.84917,0.51808,0.90248,0.46943,1.01405,0,0.0006932,0.0006932,0.0006932
35,2328.34,0.68919,1.02616,0.86586,1.15219,0,0.96123,0.98969,0.99326,0.87631,0.96123,0.98969,0.99326,0.85349,0.53659,0.87216,0.53232,1.00526,0,0.0006536,0.0006536,0.0006536
36,2388.3,0.63609,0.94438,0.81081,1.11351,0,0.96913,0.97098,0.99259,0.86044,0.98936,0.95871,0.99193,0.833,0.55606,0.88939,0.49123,1.04723,0,0.000614,0.000614,0.000614
37,2449.14,0.67255,0.91841,0.86743,1.13902,0,0.97323,0.94845,0.98562,0.87652,0.97323,0.94845,0.98562,0.85104,0.50555,0.85402,0.59563,0.99555,0,0.0005744,0.0005744,0.0005744
38,2510.03,0.67564,0.94462,0.81997,1.12767,0,0.98308,0.91753,0.98138,0.8854,0.98308,0.91753,0.98138,0.88205,0.48057,0.80195,0.48485,0.97928,0,0.0005348,0.0005348,0.0005348
39,2571.33,0.65726,0.92811,0.86629,1.13084,0,0.97928,0.97437,0.99352,0.88421,0.97928,0.97437,0.99352,0.88342,0.51071,0.71361,0.56014,1.00518,0,0.0004952,0.0004952,0.0004952
40,2632.73,0.65056,0.91878,0.79728,1.12524,0,0.98893,0.95876,0.99245,0.86902,0.98893,0.95876,0.99245,0.88813,0.52002,0.70653,0.48849,0.98242,0,0.0004556,0.0004556,0.0004556
41,2699.11,0.54877,0.87106,0.8679,1.07118,0,0.97975,0.99776,0.99387,0.86344,0.97975,0.99776,0.99387,0.87223,0.52619,0.71602,0.49219,0.99333,0,0.000416,0.000416,0.000416
42,2759.92,0.44409,0.72816,0.84391,0.98798,0,0.96734,0.96907,0.98442,0.88013,0.96734,0.96907,0.98442,0.85652,0.48101,0.81234,0.47737,1.0006,0,0.0003764,0.0003764,0.0003764
43,2820.83,0.44793,0.70183,0.75576,0.99843,0,0.98832,0.97938,0.99348,0.88506,0.98832,0.97938,0.99348,0.87884,0.47086,0.74539,0.39855,0.97721,0,0.0003368,0.0003368,0.0003368
44,2880.75,0.416,0.65189,0.75479,0.97819,0,0.97939,0.97992,0.9933,0.88537,0.97939,0.97992,0.9933,0.87931,0.50462,0.73007,0.43423,1.01688,0,0.0002972,0.0002972,0.0002972
45,2939.96,0.42557,0.66461,0.76023,0.95837,0,0.94952,0.98969,0.99015,0.88767,0.94952,0.98969,0.99015,0.88487,0.46428,0.71291,0.47424,0.99603,0,0.0002576,0.0002576,0.0002576
46,2999.81,0.40974,0.65298,0.65484,0.96042,0,0.97895,0.95881,0.99221,0.89005,0.97895,0.95881,0.99221,0.88561,0.4722,0.74087,0.38377,0.97922,0,0.000218,0.000218,0.000218
47,3059.5,0.39588,0.61437,0.8333,0.92253,0,0.95942,0.97506,0.99088,0.88095,0.95942,0.97506,0.99088,0.87412,0.48141,0.76137,0.4567,0.98752,0,0.0001784,0.0001784,0.0001784
48,3119.28,0.37402,0.62931,0.60818,0.94674,0,0.9793,0.97566,0.99197,0.89817,0.9793,0.97566,0.99197,0.88969,0.4397,0.71222,0.41213,0.95655,0,0.0001388,0.0001388,0.0001388
49,3179.3,0.37161,0.61021,0.78709,0.92622,0,0.96715,0.97938,0.99152,0.89881,0.96715,0.97938,0.99152,0.89307,0.43317,0.65256,0.40996,0.95925,0,9.92e-05,9.92e-05,9.92e-05
50,3239.34,0.34836,0.59877,0.69702,0.91753,0,0.97513,0.97938,0.99178,0.89884,0.97513,0.97938,0.99178,0.89746,0.44068,0.64889,0.40919,0.96668,0,5.96e-05,5.96e-05,5.96e-05
