epoch,train_loss,val_loss
1,0.7716806466866256,0.6708259499564613
2,0.7174043033804213,0.6672933046350774
3,0.6374533776053809,0.5635154090591312
4,0.5526486346596166,0.5270728607153156
5,0.48427213710501676,0.5111231469001967
6,2.32352649063096,0.818289007722717
7,0.6620722300127933,0.6028628140380702
8,0.5520295249340229,0.5631023737573132
9,0.48798130147887353,0.5142451291231765
10,0.4191359052420559,0.48787522054824634
11,0.3776904137062847,0.41770915149413435
12,0.3220027548590101,0.39363888566641464
13,0.2930128753521389,0.4082999301632655
14,0.2823143654523936,0.3527782206836435
15,0.25229741204950146,0.3586438908865771
16,0.2430179976879206,0.3313897603873125
17,0.23170206375364075,0.33816207814769644
18,0.21538832869968916,0.32864854392624393
19,0.20395753281120968,0.31116673987858073
20,0.18714014315291455,0.31479490940103827
