epoch,train_loss,val_loss
1,4.747221061569488,3.2662684440612795
2,3.3533938673441996,3.2798847484588625
3,3.2685882645452806,3.0710251712799073
4,3.234698501175749,3.067282085418701
5,3.215280948284857,2.980288209915161
6,3.218887421899213,3.0917475509643553
7,3.1990186846898703,3.053710994720459
8,3.200208332010372,2.979739408493042
9,3.1862383795355607,3.000185546875
10,3.176989496824984,2.9687817192077635
11,3.204163916810544,3.007261343002319
12,3.1614134111804164,3.00264910697937
13,3.1968241323254065,2.9746076011657716
14,3.189259927429839,2.9790616989135743
15,3.1733925799409786,2.948115644454956
16,3.1578567192226115,3.007154541015625
17,3.164556031455537,2.9905238342285156
18,3.166840744589617,2.9584242248535157
19,3.1752814047350855,2.9572784185409544
20,3.139466121525108,3.0125146389007567
21,3.1672125205308377,2.9842884731292725
22,3.1697354859220765,2.9316983652114867
23,3.294193087937589,3.3254657936096192
24,3.3284214556574105,3.028373022079468
25,3.212109590718846,2.9947596836090087
26,3.1997164894720753,3.015722098350525
27,3.1701295618525522,3.0168152713775633
28,3.168797176041289,2.983517847061157
29,3.1874390847668677,2.9808411836624145
30,3.1886252957189867,3.014478940963745
31,3.1826700907267496,2.9823651695251465
32,3.1654216243835265,2.9979644870758055
33,3.17376320233602,3.002262315750122
34,3.1752715853160014,2.9662042379379274
35,3.1588885755596046,2.988759832382202
36,3.1880098374303945,2.9714209175109865
37,3.161372423171997,2.961013898849487
38,3.1708043363993754,2.9523797702789305
39,3.1627580419985835,2.9855783414840698
40,3.1680381440830803,2.9608963680267335
41,3.1627596880861386,2.952816948890686
42,3.1700544728490407,3.004686670303345
43,3.1843292384804367,3.003766140937805
44,3.1638499648271208,2.960412759780884
45,3.1603792042075516,2.97451042175293
46,3.151096750162319,2.951859312057495
47,3.1558586651693563,2.9821741580963135
48,3.1549894823999463,2.9690119075775145
49,3.1649544224767627,2.996952142715454
50,3.149539784043135,2.9485119915008546
